institute_id,name,tlr,rpc,go,oi,perception,city,state,score,rank
IR17-ENGG-1-1-77,Indian Institute of Technology Madras,91.85,92.6,83.78,77.19,81.46,Chennai,Tamil Nadu,87.96,1
IR17-ENGG-2-18633,Indian Institute of Technology Bombay,91.15,94.68,83.64,69.7,84.24,Mumbai,Maharashtra,87.87,2
IR17-ENGG-2-18630,Indian Institute of Technology Kharagpur,76.03,89.23,88.02,74.11,73.43,Kharagpur,West Bengal,81.93,3
IR17-ENGG-2-1-79,Indian Institute of Technology Delhi,79.63,89.47,77.45,71.41,77.24,New Delhi,Delhi,81.08,4
IR17-ENGG-2-18248,Indian Institute of Technology Kanpur,84.28,77.28,74.29,61.35,73.59,Kanpur,Uttar Pradesh,76.83,5
IR17-ENGG-2-18677,Indian Institute of Technology Roorkee,72.3,74.36,88.31,70.95,43.47,Roorkee,Uttarakhand,73.1,6
IR17-ENGG-2-1-251,Indian Institute of Technology Guwahati,89.29,59.98,77.08,80.11,40.95,Guwahati,Assam,72.3,7
IR17-ENGG-2-18292,Anna University,63.62,67.63,67.99,59.71,50.21,Chennai,Tamil Nadu,63.97,8
IR17-ENGG-2-10326,Jadavpur University,59.42,71.38,74.96,49.76,33.82,Kolkata,West Bengal,62.59,9
IR17-ENGG-2-1-345,Indian Institute of Technology Hyderabad,82.6,36.21,71.26,73.75,29.72,Hyderabad,Telangana,60.24,10
IR17-ENGG-1-1-370,National Institute of Technology Tiruchirappalli,62,46.27,74.38,75.81,45.04,Tiruchirappalli,Tamil Nadu,59.44,11
IR17-ENGG-2-1-140,National Institute of Technology Rourkela,64.21,49.22,80.12,68.07,19.23,Rourkela,Odisha,58.78,12
IR17-ENGG-2-18572,Vellore Institute of Technology,56.49,54.02,64.91,75.56,44.6,Vellore,Tamil Nadu,58.16,13
IR17-ENGG-2-18261,Institute of Chemical Technology,70.35,47.58,74.25,59.54,17.8,Mumbai,Maharashtra,57.97,14
IR17-ENGG-2-1-346,Indian Institute of Technology Indore,83.73,32.72,70.72,75.64,10.64,Indore,Madhya Pradesh,57.7,15
IR17-ENGG-2-18599,Birla Institute of Technology & Science -Pilani,66.15,35.05,70.27,59.86,50.32,Pilani,Rajasthan,55.43,16
IR17-ENGG-2-18690,"Indian Institute of Engineering Science And Technology, Shibpur",71.02,40.3,59.43,58.47,32.82,Howrah,West Bengal,54.42,17
IR17-ENGG-1-18627,Indian Institute of Technology Bhubaneswar,79.66,28.87,63.69,76.69,13.5,Bhubaneswar,Odisha,54.32,18
IR17-ENGG-2-1-344,Indian Institute of Technology Patna,74.78,27.7,72.78,72.78,14.35,Patna,Bihar,54.02,19
IR17-ENGG-1-10356,Jamia Millia Islamia,60.01,38.73,80.24,73.39,6.92,New Delhi,Delhi,53.7,20
IR17-ENGG-2-1-340,Indian Institute of Technology Ropar,78.92,27.63,62.97,76.06,7.68,Rupnagar,Punjab,52.93,21
IR17-ENGG-1-1-493,National Institute of Technology Surathkal,62.53,32.6,73.71,64.28,31.56,Surathkal,Karnataka,52.87,22
IR17-ENGG-1-18632,Indian Institute of Technology (Indian School of Mines),57.19,40.14,69.42,67.49,27.52,Dhanbad,Jharkhand,52.58,23
IR17-ENGG-1-1-2809541361,"College of Engineering, Pune",70.56,24.47,70.09,69.81,26.33,Pune,Maharashtra,52.14,24
IR17-ENGG-2-18477,Shanmugha Arts Science Technology & Research Academy (SASTRA),62.38,36.31,67.32,67.13,16.73,Thanjavur,Tamil Nadu,51.44,25
IR17-ENGG-2-1-2813959492,Thapar University,56.85,41.77,73.33,52.08,18.9,Patiala,Punjab,51.35,26
IR17-ENGG-1-1-2811256746,Sri Sivasubrmaniya Nadar College of Engineering,74.22,24.88,65.82,61.56,17.17,Kalavakkam,Tamil Nadu,50.77,27
IR17-ENGG-1-1-249,Indian Institute of Space Science and Technology,81.23,14.74,60.24,70.29,27.33,Thiruvananthapuram,Kerala,50.6,28
IR17-ENGG-2-18639,Indian Institute of Technology Mandi,78.98,17.99,66.78,74.26,7.24,Mandi,Himachal Pradesh,50.6,28
IR17-ENGG-1-18628,Indian Institute of Technology Gandhinagar,79.73,14.41,59.25,75.94,27.54,Ahmedabad,Gujarat,50.43,30
IR17-ENGG-2-18672,"Indian Institute of Technology (Banaras Hindu University), Varanasi",61.22,25.36,71.67,59.03,37.11,Varanasi,Uttar Pradesh,49.92,31
IR17-ENGG-2-1-2811781771,Birla Institute of Technology,65.59,29.36,64.22,72.08,13.8,Ranchi,Jharkhand,49.92,31
IR17-ENGG-1-2811179135,PSG College of Technology,66.54,23.64,57.05,62.81,47.48,Coimbatore,Tamil Nadu,49.49,33
IR17-ENGG-2-18622,National Institute of Technology Warangal,66.94,25.44,68.92,65.85,14.01,Warangal,Telangana,49.47,34
IR17-ENGG-2-1-596,S.R.M Institute of Science and Technology,59.75,31.69,57.93,82.94,18.79,Chennai,Tamil Nadu,49.2,35
IR17-ENGG-2-1-NEW5,"National Institute of Industrial Engineering, Mumbai",80.8,1.25,71.62,77.94,7.54,Mumbai,Maharashtra,47.47,36
IR17-ENGG-2-1-2811366803,Thiagarajar College of Engineering,66.01,26.76,57.78,59,17.18,Madurai,Tamil Nadu,47.01,37
IR17-ENGG-1-11736,Pondicherry Engineering College,66.45,20.44,69.4,61.68,2.54,Puducherry,Pondicherry,46.37,38
IR17-ENGG-2-12907,Delhi Technological University,50.95,24.48,72.9,67.16,22.64,New Delhi,Delhi,46.19,39
IR17-ENGG-2-10949,Zakir Husain College of Engineering & Technology,71.3,33.57,47.24,48.05,4.57,Aligarh,Uttar Pradesh,46.18,40
IR17-ENGG-2-1-357,Motilal Nehru National Institute of Technology,56,30.32,66.14,56.74,8.82,Allahabad,Uttar Pradesh,45.68,41
