institute_id,name,tlr,rpc,go,oi,perception,city,state,score,rank
IR-2-E-OE-U-0456,Indian Institute of Technology Madras,93.83,91.44,84.91,63.88,100,Chennai,Tamil Nadu,88.95,1
IR-3-E-OEM-U-0306,Indian Institute of Technology Bombay,89.61,96.04,76.53,44.71,93.48,Mumbai,Maharashtra,84.82,2
IR-3-E-OEM-I-1074,Indian Institute of Technology Delhi,80.83,89.35,81.47,59.72,88.6,New Delhi,Delhi,82.18,3
IR-5-E-OEMAL-U-0573,Indian Institute of Technology Kharagpur,73.73,84.26,85.65,53.99,78.51,Kharagpur,West Bengal,77.78,4
IR-3-E-OEM-I-1075,Indian Institute of Technology Kanpur,78.51,77.15,78.99,41.46,85.89,Kanpur,Uttar Pradesh,75.24,5
IR-4-E-OEMA-U-0560,Indian Institute of Technology Roorkee,72.8,72.08,88.9,56.66,56.63,Roorkee,Uttarakhand,72.57,6
IR-2-E-OE-U-0053,Indian Institute of Technology Guwahati,86.29,61.54,76.51,50.46,45.49,Guwahati,Assam,69.25,7
IR-4-E-OEMA-U-0439,Anna University,64.6,72.08,68.55,52.3,71.04,Chennai,Tamil Nadu,67.04,8
IR-2-E-OE-U-0013,Indian Institute of Technology Hyderabad,80.63,44.22,71.03,55.11,36.94,Hyderabad,Telangana,60.87,9
IR-3-E-OEP-U-0308,Institute of Chemical Technology,70.22,58.51,73.21,53.43,20.35,Mumbai,Maharashtra,60.63,10
IR-2-E-OE-U-0467,National Institute of Technology Tiruchirappalli,66.49,46.44,72.02,60.96,59.69,Tiruchirappalli,Tamil Nadu,60.35,11
IR-2-E-OE-U-0575,Jadavpur University,58.26,68.5,77.63,29.09,33.49,Kolkata,West Bengal,59.82,12
IR-2-E-OE-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,64.7,53.04,74.73,59.99,29.73,Dhanbad,Jharkhand,59.24,13
IR-2-E-OE-U-0273,Indian Institute of Technology Indore,81.42,40.8,69.67,56.16,17.28,Indore,Madhya Pradesh,57.95,14
IR-2-E-OE-U-0357,National Institute of Technology Rourkela,61.82,52.36,78.74,45.76,24.71,Rourkela,Odisha,57.05,15
IR-3-E-OEM-U-0490,Vellore Institute of Technology,54.64,55.4,65.51,59.22,49.93,Vellore,Tamil Nadu,57.02,16
IR-3-E-OEP-U-0391,Birla Institute of Technology & Science,68.55,38.31,69.71,60.21,49.6,Pilani,Rajasthan,56.98,17
IR-2-E-OE-U-0355,Indian Institute of Technology Bhubaneswar,81.45,39.77,64.08,59.02,17.99,Bhubaneswar,Odisha,56.89,18
IR-1-E-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,64.43,42.55,77.62,41.66,48.44,Varanasi,Uttar Pradesh,56.62,19
IR-2-E-EM-I-1480,Thapar Institute of Engineering and Technology,69.77,45.75,73.11,56.55,12.01,Patiala,Punjab,56.14,20
IR-2-E-OE-U-0237,National Institute of Technology Surathkal,60.34,38.36,71.27,51.1,41.93,Surathkal,Karnataka,53.16,21
IR-2-E-OE-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",67.15,45.47,61.09,40.27,32.03,Howrah,West Bengal,53.24,21A
IR-2-E-OE-U-0378,Indian Institute of Technology Ropar,77.84,29.53,65.29,60.61,14.73,Rupnagar,Punjab,52.8,22
IR-2-E-OE-U-0255,Indian Institute of Space Science and Technology,78.87,20.76,62.12,60.82,43.47,Thiruvananthapuram,Kerala,52.74,23
IR-2-E-OE-U-0064,Indian Institute of Technology Patna,74.43,35.03,65.64,49.3,14.73,Patna,Bihar,52.37,24
IR-2-E-OE-U-0025,National Institute of Technology Warangal,67.25,31.43,72.38,54.79,22.59,Warangal,Telangana,51.82,25
IR-5-E-OEMAP-U-0202,Birla Institute of Technology,71.22,36.61,59.88,51.69,16.21,Ranchi,Jharkhand,51.12,26
IR-2-E-OE-U-0184,Indian Institute of Technology Mandi,76.9,30.48,63.07,54.64,9.96,Mandi,Himachal Pradesh,51.28,26A
IR-2-E-OE-U-0139,Indian Institute of Technology Gandhinagar,74.18,26.31,59.24,52.64,32.03,Gandhinagar,Gujarat,50.45,27
IR-3-E-OEM-C-37013,PSG College of Technology,69.82,23.64,55.96,49.87,60.95,Coimbatore,Tamil Nadu,50.31,29
IR-1-E-E-U-0334,Visvesvaraya National Institute of Technology,63.78,35.85,64.68,56.13,11.2,Nagpur,Maharashtra,49.55,31
IR-5-E-OEMAL-U-0108,Jamia Millia Islamia,57.41,39.27,72.13,48.49,8.67,New Delhi,Delhi,49.15,32
IR-4-E-OEML-U-0476,Shanmugha Arts Science Technology & Research Academy,61.27,33.34,64.59,58.93,15.48,Thanjavur,Tamil Nadu,48.74,33
IR-6-E-OEMALP-U-0497,Amity University,67.99,42.64,47.12,57.87,2.6,Gautam Budh Nagar,Uttar Pradesh,48.66,34
IR-7-E-OEMALDC-U-0496,Aligarh Muslim University,70.21,38.92,53.95,36.54,10.79,Aligarh,Uttar Pradesh,48.26,35
IR-1-E-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,69.98,27.18,58.89,52.41,19.35,Kancheepuram,Tamil Nadu,48.1,36
IR-4-E-OEMA-U-0474,Sathyabama Institute of Science and Technology,56.33,34.48,66.57,62.08,5.04,Chennai,Tamil Nadu,47.26,37
IR-1-E-E-U-0014,International Institute of Information Technology,49.08,31.56,77.96,54.24,16.57,Hyderabad,Telangana,46.87,38
IR-1-E-E-C-7252,Manipal Institute of Technology,68.57,18.47,56.93,63.21,28.4,Manipal,Karnataka,46.66,39
IR-3-E-OEA-C-26794,Thiagarajar College of Engineering,62.34,26.64,59.11,46.6,34.91,Madurai,Tamil Nadu,46.66,39
